Location,rent_per_sqft
"DHA Phase 2 Extension, DHA Defence",122.22222222222223
"DHA Phase 8, DHA Defence",366.6666666666667
"DHA Phase 4 - Block GG, DHA Phase 4",125.92592592592592
"DHA Phase 4 - Block AA, DHA Phase 4",148.14814814814815
"DHA Phase 3 - Block Z, DHA Phase 3",166.66666666666666
"DHA Phase 5, DHA Defence",162.962962962963
"DHA Phase 7, DHA Defence",211.11111111111111
"DHA Phase 4, DHA Defence",188.88888888888889
"DHA Phase 6, DHA Defence",170.37037037037035
"DHA Phase 5, DHA Defence",288.8888888888889
"DHA Phase 6, DHA Defence",125.92592592592592
"Gulberg, Lahore",266.6666666666667
"DHA Defence Phase 2, DHA Defence",148.14814814814815
"DHA Phase 6, DHA Defence",125.92592592592592
"Gulberg 2, Gulberg",
"DHA 9 Town, DHA Defence",96.29629629629629
"DHA 9 Town, DHA Defence",96.29629629629629
"Paragon City, Lahore",133.33333333333334
"DHA Phase 8, DHA Defence",192.59259259259258
"DHA Phase 8, DHA Defence",183.33333333333334
"DHA Phase 8 - Ex Park View, DHA Phase 8",207.40740740740742
"DHA Phase 8, DHA Defence",148.14814814814815
"Askari Heights 4, DHA Phase 5 - Sector H",96.29629629629629
"DHA Defence Phase 2, DHA Defence",118.51851851851852
"Gulberg 3, Gulberg",
"DHA Phase 5, DHA Defence",414.81481481481484
"Bahria Town - Quaid Block, Bahria Town - Sector E",177.77777777777777
"DHA Phase 1, DHA Defence",155.55555555555554
"DHA Phase 7, DHA Defence",328.8888888888889
"Gulberg, Lahore",500.0
"DHA Phase 2, DHA Defence",140.74074074074073
"DHA Phase 1, DHA Defence",168.88888888888889
"Architects Engineers Housing Society, Lahore",77.77777777777777
"Architects Engineers Housing Society, Lahore",155.55555555555554
"DHA Phase 5, DHA Defence",288.8888888888889
"Sunny Park, Lahore",144.44444444444446
"DHA Phase 7, DHA Defence",253.33333333333334
"9th Commercial Street - DHA Phase 4, DHA Phase 4",333.3333333333333
"DHA Phase 6, DHA Defence",302.22222222222223
"Emaar Crescent Bay, DHA Phase 8",444.44444444444446
"DHA Phase 1 - Sector B, DHA Defence Phase 1",125.92592592592592
"DHA Phase 6 - Block K, DHA Phase 6",253.33333333333334
"EME Society, Lahore",177.77777777777777
"EME Society, Lahore",118.51851851851852
"Penta Square By DHA Lahore, DHA Phase 5",777.7777777777778
"Paragon City, Lahore",111.11111111111111
"DHA Defence Phase 2, DHA Defence",125.92592592592592
"DHA Defence Phase 2, DHA Defence",111.11111111111111
"DHA Phase 5, DHA Defence",248.88888888888889
"Bedian Road, Lahore",177.77777777777777
"DHA Phase 6, DHA Defence",237.03703703703704
"Bahria Town - Jinnah Block, Bahria Town - Sector E",88.88888888888889
"DHA Phase 1, DHA Defence",186.66666666666666
"DHA Phase 2, DHA Defence",191.11111111111111
"DHA 9 Town - Block A, DHA 9 Town",96.29629629629629
"Penta Square By DHA Lahore, DHA Phase 5",340.7407407407407
"DHA 9 Town, DHA Defence",99.25925925925925
"DHA Phase 6, DHA Defence",133.33333333333334
"State Life Housing Society, Lahore",111.11111111111111
"Super Town, Lahore",127.77777777777776
"DHA Phase 7, DHA Defence",183.33333333333334
"DHA Phase 6, DHA Defence",257.77777777777777
"DHA 9 Town, DHA Defence",103.70370370370371
"DHA 11 Rahbar, Lahore",133.33333333333334
"DHA Phase 7, DHA Defence",296.2962962962963
"Upper Mall, Lahore",317.46031746031747
"DHA Phase 3, DHA Defence",186.66666666666666
"DHA 9 Town, DHA Defence",111.11111111111111
"Zameen Aurum, Gulberg 3 - Block L",533.3333333333334
"Sabzazar Scheme, Lahore",144.44444444444446
"Sabzazar Scheme, Lahore",144.44444444444446
"Zameen Aurum, Gulberg 3 - Block L",400.0
"Gulberg, Lahore",476.1904761904762
"Penta Square By DHA Lahore, DHA Phase 5",622.2222222222222
"DHA Phase 7, DHA Defence",177.77777777777777
"DHA Phase 6, DHA Defence",377.77777777777777
"DHA Phase 7 - Block S, DHA Phase 7",251.85185185185185
"DHA Phase 4 - Block GG, DHA Phase 4",233.33333333333334
"DHA 11 Rahbar Phase 2 - Block F, DHA 11 Rahbar Phase 2",118.51851851851852
"DHA Phase 5, DHA Defence",148.14814814814815
"Gulberg Greens, Gulberg",400.0
"DHA Sector A - Rachna Villas, DHA Sector A",66.66666666666667
"DHA Phase 8, DHA Defence",1777.7777777777778
"Askari Heights 4, DHA Phase 5 - Sector H",96.29629629629629
"Defence Raya, DHA Defence",388.8888888888889
"Gulberg Greens, Gulberg",244.44444444444446
"DHA Phase 6, DHA Defence",111.11111111111111
"DHA 9 Town, DHA Defence",33.333333333333336
"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",148.14814814814815
"DHA Phase 6, DHA Defence",288.8888888888889
"DHA Phase 6, DHA Defence",2222.222222222222
"Bahria Town, Lahore",96.29629629629629
"Bukhari Commercial Area, DHA Phase 6",266.6666666666667
"Bahria Town - Rafi Block, Bahria Town - Sector E",77.03703703703704
"DHA Phase 5, DHA Defence",296.2962962962963
