name,layer,lat,lon,weight
Main Market Gulberg,mall,31.5242296,74.34610649999999,1.0
Goldcrest Mall and Apartments,mall,31.466604099999994,74.3817396,1.0
Fortress Stadium Lahore,mall,31.5317842,74.3660636,1.0
Mall of Lahore,mall,31.529387599999986,74.3784367,1.0
Panorama Shopping Centre,mall,31.562009800000002,74.32119759999999,1.0
Pace Shopping Mall,mall,31.515342300000004,74.3424113,1.0
Hafeez Centre,mall,31.516093500000004,74.34289809999999,1.0
Gulberg Centre,mall,31.520896599999997,74.3468738,1.0
Big City Tower,mall,31.510360100000003,74.3396179,1.0
IT Tower,mall,31.515873800000012,74.3410771,1.0
Hasan Centre,mall,31.5155307,74.3419797,1.0
Fazal Centre,mall,31.51570050000001,74.34169099999998,1.0
Centre Point Plaza,mall,31.507130500000002,74.3360644,1.0
Emporium Mall,mall,31.467188999999994,74.2659803,1.0
Sachyari Shopping Center,mall,31.6274913,74.2874966,1.0
K B Shopping Center,mall,31.626220799999995,74.2883461,1.0
Packages Mall,mall,31.471183099999994,74.35602639999999,1.0
Al Hafeez,mall,31.510164400000004,74.3521354,1.0
Ali Towers,mall,31.511152300000006,74.3509123,1.0
Divine One,mall,31.485267400000005,74.4095218,1.0
Waqar Heights Shopping Mall,mall,31.486714499999994,74.4107456,1.0
Zaka Mall,mall,31.5143216,74.3511215,1.0
Pearl One,mall,31.515348300000007,74.35195299999998,1.0
Pace Shopping Mall,mall,31.5158879,74.35202539999999,1.0
Blue Mall,mall,31.518802300000008,74.3515936,1.0
Tenth Avenue Mall,mall,31.5190264,74.3521246,1.0
Primark Shopping Mall,mall,31.5217505,74.3507433,1.0
Fortress Square Mall,mall,31.532358200000004,74.3631271,1.0
Xinhua Mall,mall,31.5074413,74.35401000000002,1.0
Al Fatah Exclusive Mall,mall,31.5070382,74.3529385,1.0
Defence Shopping Mall,mall,31.4879676,74.3801308,1.0
Auriga,mall,31.52444240000001,74.34763849999999,1.0
Liberty Plaza,mall,31.50980819999999,74.3465906,1.0
H MALL,mall,31.56527000000001,74.3809469,1.0
Unnamed mall,mall,31.562162753228904,74.32149218433372,1.0
Pace Mall,mall,31.515327223961087,74.34252329492575,1.0
Asif Computers,mall,31.51585940768134,74.34102736188666,1.0
Unnamed mall,mall,31.50716849424228,74.33606649263609,1.0
Galleria,mall,31.531805487911754,74.35142101809059,1.0
