name,lat,lon,layer
National Collage of Arts (NCA) Lahore,31.568568900000002,74.3095966,college
PSR College of Rehabilitation Sciences,31.5290324,74.3229027,college
Punjab Judicial Academy,31.561919600000007,74.31501419999998,college
Government Rabia Basri College for Women,31.474604999999993,74.3562941,college
Government Jinnah Degree College for Women,31.551228600000005,74.317367,college
University of south asia lahore,31.4257432,74.23135909999999,college
Jinnah memorial college,31.550729900000004,74.303323,college
Jinnah memorial college,31.550732600000003,74.30336199999999,college
آمنہ عنایت میڈیکل کالج,31.600771700000006,74.21441169999999,college
F.G Degree College No1,31.532707190112816,74.38518549510236,college
Himayat Islam Khawateen College,31.49724030025295,74.31927891586771,college
Fatima Jinnah College for Women,31.58606507270089,74.31870072430219,college
National College of Arts,31.568205629581968,74.30721753637145,college
Aitchison College,31.55065256363484,74.34688918016562,college
Kinnaird College for Women,31.537754601130164,74.34063844403721,college
Lahore Grammar School Johar Town,31.47066468952668,74.29096440539143,college
Government College For Boys - Gulberg,31.5085632554561,74.33333626259305,college
Unnamed college,31.336565729314827,74.19686945311058,college
Siqarah College,31.4394547347084,74.28885765061028,college
Al Huda International,31.43686900002995,74.28710039998705,college
Qasre - Bahbood,31.48217979444036,74.31199774945455,college
Unnamed college,31.48061458356555,74.3085754195325,college
Minhaj ul Quran International,31.483340329380905,74.30903023414913,college
Wapda Town Women Degree College,31.43757334705719,74.27228756233274,college
Government Degree College for Women,31.58002135297016,74.29912064655035,college
DPS Playground,31.475918050974425,74.40309350015343,college
Government Islamia College - Civil Lines Campus,31.575027109543583,74.32521210425179,college
Government Shalimar College,31.588789846226625,74.37885182903378,college
Government Degree College for Women,31.552346839039192,74.36830461455176,college
Cambridge Girls College,31.55828078042081,74.30743963711616,college
Queen Mary College,31.563217344245064,74.34131984360057,college
Kinnaird College,31.573572247972393,74.33452876428792,college
Kinnaird Girls College,31.57305223051927,74.33584214965705,college
دیال سنگھ گریجویٹ کالج,31.569099355971563,74.32459317203546,college
Staff College,31.5537029746587,74.3397240632967,college
Hailey College of Banking and Finance,31.561874451085146,74.3074530197478,college
Saint Peter's College for Women,31.549894194535597,74.32050230871563,college
Bahria University,31.458635334500862,74.28873325496042,college
Government Technical Training Institute for Women,31.590403629564527,74.36349168860258,college
Audit and Accounts Training Institute,31.507978622641943,74.35832932168309,college
Samanabad Girls College,31.53198956491761,74.30632563456322,college
Unnamed college,31.454449738773555,74.44628339410494,college
GOVERNMENT COLLEDGE OF TECHNOLOGY,31.41222807374889,74.22817554882414,college
Lahore Medical and Dental College,31.581963511695,74.46386867783222,college
"Department of Space Science, Punjab University Lahore",31.494440590598032,74.29272975196564,college
لاھور کالج آف انفرمیشن اینڈ ٹیکنالوجی,31.570164531517563,74.30250333137396,college
