type,area_name,lat,lon,price_per_sqft,is_commercial,wealth_index
residential,DHA Phase 4,31.460716,74.387155,20.0,False,20.0
residential,DHA Phase 8 Ex AA (Air Avenue),31.50931,74.43887,57.77777777777778,False,57.77777777777778
residential,DHA Phase 8 - Ex Park View,31.518936,74.437694,22.22222222222222,False,22.22222222222222
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 8 Ex AA (Air Avenue),31.51105133,74.44011323,16.666666666666668,False,16.666666666666668
residential,DHA Phase 8 Ex AA (Air Avenue),31.51104247,74.44010653,16.666666666666668,False,16.666666666666668
residential,DHA Phase 8 - Ex Park View,31.518936,74.437694,22.22222222222222,False,22.22222222222222
residential,DHA Phase 4,31.460716,74.387155,20.0,False,20.0
residential,DHA Phase 8 Ex AA (Air Avenue),31.50931,74.43887,57.77777777777778,False,57.77777777777778
residential,DHA Phase 8 - Ex Park View,31.518936,74.437694,22.22222222222222,False,22.22222222222222
residential,DHA Phase 8 Ex AA (Air Avenue),31.51195,74.4414,57.77777777777778,False,57.77777777777778
residential,DHA Town Phase 9,31.44312444,74.43114875,35.55555555555556,False,35.55555555555556
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 8 - Ex Park View,31.518936,74.437694,22.22222222222222,False,22.22222222222222
residential,DHA Phase 4,31.460716,74.387155,20.0,False,20.0
residential,DHA Phase 8 Ex AA (Air Avenue),31.50931,74.43887,57.77777777777778,False,57.77777777777778
residential,Gulberg 3,31.50938947,74.35662981,24.444444444444443,False,24.444444444444443
residential,DHA Phase 3,31.4694638,74.37865142,76.66666666666667,False,76.66666666666667
residential,DHA Phase 3,31.46377463,74.36607305,73.33333333333333,False,73.33333333333333
residential,DHA Phase 3,31.46542839,74.36643628,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46518437,74.36484612,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.47140804,74.37582551,71.11111111111111,False,71.11111111111111
residential,DHA Phase 3,31.46883898,74.37868108,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46934284,74.37119488,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.46508703,74.37876474,71.11111111111111,False,71.11111111111111
residential,DHA Town Phase 9,31.44330903,74.43110685,36.111111111111114,False,36.111111111111114
residential,DHA Phase 8 Ex AA (Air Avenue),31.51195,74.4414,57.77777777777778,False,57.77777777777778
residential,DHA Town Phase 9,31.44312444,74.43114875,35.55555555555556,False,35.55555555555556
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 8 - Ex Park View,31.518936,74.437694,22.22222222222222,False,22.22222222222222
residential,DHA Phase 3,31.4694638,74.37865142,76.66666666666667,False,76.66666666666667
residential,DHA Phase 3,31.47151156,74.38137453,24.444444444444443,False,24.444444444444443
residential,DHA Phase 3,31.47153215,74.38114118,78.88888888888889,False,78.88888888888889
residential,DHA Phase 3,31.47237143,74.38393202,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.47153215,74.38114118,78.88888888888889,False,78.88888888888889
residential,DHA Phase 3,31.47028785,74.38362449,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.46888386,74.37410675,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.46921513,74.38235294,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46887528,74.37446952,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.46514307,74.36563742,68.88888888888889,False,68.88888888888889
residential,DHA Town Phase 9,31.44330903,74.43110685,36.111111111111114,False,36.111111111111114
residential,DHA Phase 8 Ex AA (Air Avenue),31.51195,74.4414,57.77777777777778,False,57.77777777777778
residential,DHA Town Phase 9,31.44312444,74.43114875,35.55555555555556,False,35.55555555555556
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.46888386,74.37410675,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.4666497,74.3755692,73.33333333333333,False,73.33333333333333
residential,DHA Phase 3,31.46514307,74.36563742,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.47799319,74.37372233,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.47025992,74.37853072,73.33333333333333,False,73.33333333333333
residential,DHA Phase 3,31.46868399,74.37548024,24.444444444444443,False,24.444444444444443
residential,DHA Phase 3,31.46887528,74.37446952,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.47064058,74.38469262,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.47242347,74.38520808,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.46586023,74.36623482,66.66666666666667,False,66.66666666666667
residential,DHA Town Phase 9,31.44330903,74.43110685,36.111111111111114,False,36.111111111111114
residential,DHA Phase 8 Ex AA (Air Avenue),31.51195,74.4414,57.77777777777778,False,57.77777777777778
residential,DHA Town Phase 9,31.44312444,74.43114875,35.55555555555556,False,35.55555555555556
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.47499347,74.36933894,70.0,False,70.0
residential,DHA Phase 3,31.46773715,74.3763679,72.22222222222223,False,72.22222222222223
residential,DHA Phase 3,31.47211149,74.38040625,73.33333333333333,False,73.33333333333333
residential,DHA Phase 3,31.47047434,74.38129562,71.11111111111111,False,71.11111111111111
residential,DHA Phase 3,31.46894458,74.37755956,76.66666666666667,False,76.66666666666667
residential,DHA Phase 3,31.47182153,74.38175038,71.11111111111111,False,71.11111111111111
residential,DHA Phase 3,31.46350957,74.37719665,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.46921112,74.36782692,73.33333333333333,False,73.33333333333333
residential,Gulberg 3,31.47155845,74.38097656,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.47025992,74.37853072,73.33333333333333,False,73.33333333333333
residential,DHA Town Phase 9,31.44330903,74.43110685,36.111111111111114,False,36.111111111111114
residential,DHA Phase 8 Ex AA (Air Avenue),31.51195,74.4414,57.77777777777778,False,57.77777777777778
residential,DHA Town Phase 9,31.44312444,74.43114875,35.55555555555556,False,35.55555555555556
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.47025992,74.37853072,73.33333333333333,False,73.33333333333333
residential,DHA Phase 3,31.46956845,74.3770625,75.55555555555556,False,75.55555555555556
residential,DHA Phase 3,31.46596177,74.36524223,75.55555555555556,False,75.55555555555556
residential,DHA Phase 1,31.47784272,74.39592551,78.88888888888889,False,78.88888888888889
residential,DHA Phase 3,31.47214971,74.37410219,76.44444444444444,False,76.44444444444444
residential,DHA Phase 1,31.47784272,74.39592551,78.88888888888889,False,78.88888888888889
residential,DHA Phase 3,31.46778728,74.3778756,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46701888,74.37409879,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.4716328,74.38187912,24.444444444444443,False,24.444444444444443
residential,DHA Phase 3,31.47025992,74.37853072,73.33333333333333,False,73.33333333333333
residential,DHA Town Phase 9,31.44330903,74.43110685,36.111111111111114,False,36.111111111111114
residential,DHA Phase 8 Ex AA (Air Avenue),31.51195,74.4414,57.77777777777778,False,57.77777777777778
residential,DHA Town Phase 9,31.44312444,74.43114875,35.55555555555556,False,35.55555555555556
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.46327306,74.3804656,73.33333333333333,False,73.33333333333333
residential,DHA Phase 3,31.46725475,74.37634254,37.77777777777778,False,37.77777777777778
residential,DHA Phase 3,31.47159432,74.37374264,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46728265,74.37881074,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46958619,74.3789364,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46508703,74.37876474,71.11111111111111,False,71.11111111111111
residential,DHA Phase 3,31.46508703,74.37876474,71.11111111111111,False,71.11111111111111
residential,DHA Phase 3,31.46958619,74.3789364,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46958619,74.3789364,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.46958619,74.3789364,68.88888888888889,False,68.88888888888889
residential,DHA Town Phase 9,31.44330903,74.43110685,36.111111111111114,False,36.111111111111114
residential,DHA Phase 8 Ex AA (Air Avenue),31.51195,74.4414,57.77777777777778,False,57.77777777777778
residential,DHA Town Phase 9,31.44312444,74.43114875,35.55555555555556,False,35.55555555555556
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.47773406,74.37156502,68.88888888888889,False,68.88888888888889
residential,DHA Phase 3,31.47642002,74.37397951,37.77777777777778,False,37.77777777777778
residential,DHA Phase 3,31.47096109,74.38102417,22.22222222222222,False,22.22222222222222
residential,DHA Phase 3,31.47714817,74.37222652,73.33333333333333,False,73.33333333333333
residential,DHA Phase 3,31.46817888,74.37898586,20.0,False,20.0
residential,DHA Phase 3,31.47714817,74.37222652,73.33333333333333,False,73.33333333333333
residential,DHA Phase 3,31.47096109,74.38102417,22.22222222222222,False,22.22222222222222
residential,DHA Phase 3,31.47007376,74.37815152,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.47007376,74.37815152,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.47033954,74.38212293,35.55555555555556,False,35.55555555555556
residential,DHA Town Phase 9,31.44330903,74.43110685,36.111111111111114,False,36.111111111111114
residential,DHA Phase 8 Ex AA (Air Avenue),31.51195,74.4414,57.77777777777778,False,57.77777777777778
residential,DHA Town Phase 9,31.44312444,74.43114875,35.55555555555556,False,35.55555555555556
residential,DHA Phase 8 - Ex Park View,31.518671,74.439915,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.47033954,74.38212293,35.55555555555556,False,35.55555555555556
residential,DHA Phase 3,31.47007376,74.37815152,66.66666666666667,False,66.66666666666667
residential,DHA Phase 3,31.47096109,74.38102417,22.22222222222222,False,22.22222222222222
