Latitude,Longitude
31.5498056,74.30054
31.4680054,74.2296089
31.4666098,74.2274993
31.4651297,74.229003
31.6083026,74.2959743
31.5408116,74.2620569
31.538545,74.2658921
31.5409889,74.25997
31.538446,74.2619752
31.5385461,74.2619525
31.5376338,74.2608295
31.5537065,74.246187
31.5536099,74.2460809
31.5576317,74.2411503
31.5902032,74.2181264
31.6006533,74.2163391
31.5948643,74.217599
31.5965963,74.2202499
31.5965277,74.2193894
31.5601119,74.3700794
31.5591229,74.3689945
31.5680626,74.4081964
31.5676578,74.4080354
31.417828,74.3585355
31.4733388,74.3685369
31.5106161,74.3409525
31.5188482,74.3451548
31.5288971,74.3603456
31.5437199,74.3255504
31.5272126,74.362111
31.5053663,74.3412431
31.6063812,74.300356
31.5778102,74.334154
31.5934382,74.4672546
31.4353989,74.2375596
31.5218386,74.3835899
31.6048339,74.2986562
31.5868537,74.3239747
31.5063106,74.336329
31.4573784,74.4430508
31.3849535,74.4766991
31.5733108,74.3043422
31.5770408,74.3328229
31.5710131,74.3326851
31.4643098,74.3405753
31.4973825,74.3333169
31.4859972,74.3357161
31.4159113,74.2499932
31.4122695,74.2646557
31.4156581,74.2677697
31.4193017,74.271075
31.4150495,74.2711829
31.477016,74.3219854
31.5174069,74.3803049
31.5097705,74.3757582
31.5461672,74.4027528
31.5594556,74.3248454
31.5562222,74.3394699
31.565771,74.3695067
31.5659923,74.352503
31.5379689,74.382615
31.5402784,74.4253996
31.5245634,74.4211957
31.5212153,74.4384486
31.5197264,74.3517097
31.5255178,74.3544218
31.4625745,74.2988059
31.4668036,74.273931
31.4689492,74.2993504
31.6095746,74.3031639
31.514968,74.277607
31.4442982,74.2736442
31.4365922,74.270554
31.4334147,74.2882291
31.4383882,74.2813812
31.4358891,74.2734983
31.433158,74.2762094
31.4241809,74.2653721
31.4197841,74.2623464
31.4156338,74.259876
31.4333125,74.2614176
31.4764247,74.2544552
31.5107196,74.3253854
31.5504658,74.3283907
31.5505604,74.3280945
31.5558697,74.3213935
31.5595844,74.3209963
31.5593418,74.3245354
31.5595299,74.3183497
31.5681277,74.3100254
31.5723083,74.311611
31.5651838,74.3298275
31.566332,74.3275147
31.4049353,74.2931791
31.4049494,74.2930219
31.4247504,74.2707702
31.5528908,74.3037546
31.5804542,74.3045901
31.5869306,74.3095572
31.6050974,74.3073732
31.572293,74.2845167
31.5875623,74.315032
31.5794402,74.317938
31.5681772,74.3174631
31.55959,74.3242197
31.5592941,74.3316025
31.5539893,74.3479826
31.4873095,74.3195263
31.540025,74.3765579
31.5472811,74.3830059
31.529764,74.3822469
31.5645895,74.3125831
31.5618306,74.3006301
31.5694328,74.3037753
31.5682277,74.2967502
31.5644658,74.3003108
31.5676045,74.2985065
31.5432134,74.3022188
31.5405334,74.3013385
31.5405892,74.3038186
31.5544693,74.2981156
31.595927,74.3493619
31.5863619,74.3336889
31.587697,74.3368466
31.5318814,74.3523799
31.502266,74.3350977
31.4997336,74.3570754
31.4967682,74.3678721
31.4579069,74.3056069
31.4576132,74.3130175
31.5188665,74.3416707
31.527231,74.3329698
31.5067291,74.3784378
31.4704103,74.3009857
31.4496356,74.3141908
31.4598174,74.3006304
31.4588082,74.3034425
31.4433863,74.2999775
31.4499318,74.2848575
31.4123494,74.2645438
31.4235636,74.2468794
31.5780598,74.3010429
31.5430401,74.2981368
31.535149,74.3045475
31.51693,74.3006587
31.5214397,74.3569319
31.5123705,74.3547571
31.6513315,74.1648627
31.6171242,74.2553275
31.5451045,74.2554696
31.5904868,74.3366266
31.5922324,74.3343237
31.4451744,74.3191542
31.4430423,74.3055691
31.445886,74.3119968
31.4613826,74.3040553
31.4613369,74.3097023
31.4516918,74.3253701
31.4545354,74.3186999
31.4523283,74.3033229
31.4521808,74.3032379
31.4263613,74.2683085
31.4236406,74.2684557
