Latitude,Longitude,Population
31.487603,74.442712,219
31.473875,74.454825,5374
31.47292,74.444551,6643
31.481693,74.459045,8695
31.480739,74.448769,1515
31.470052,74.413729,14557
31.478828,74.428219,9696
31.477871,74.417944,12969
31.464146,74.430061,9819
31.46319,74.419788,17512
31.471965,74.434277,6693
31.471009,74.424003,15338
31.444514,74.458497,2662
31.453283,74.472986,1490
31.45233,74.462715,5691
31.438604,74.474817,4714
31.437651,74.464548,7279
31.445467,74.468767,2955
31.434788,74.433743,4201
31.44356,74.448227,2784
31.442605,74.437957,5105
31.428882,74.450064,1148
31.427928,74.439797,733
31.436698,74.45428,4420
31.435744,74.444011,2614
31.467011,74.46088,8719
31.475781,74.475374,5178
31.474828,74.4651,9868
31.460147,74.466934,4836
31.467964,74.471153,5691
31.457284,74.436118,12554
31.466057,74.450607,6229
31.465102,74.440334,8231
31.451376,74.452444,4811
31.450422,74.442173,9575
31.459193,74.456661,7742
31.458239,74.446389,13263
31.4083,74.468214,2443
31.407347,74.457949,4592
31.422022,74.456115,5935
31.430789,74.470599,4616
31.429836,74.460331,3151
31.416114,74.47243,4347
31.415161,74.462165,5081
31.422975,74.466381,5862
31.550351,74.398422,16169
31.559135,74.412927,14044
31.558177,74.40264,14215
31.544442,74.414775,10356
31.543484,74.40449,7791
31.552267,74.418994,16120
31.551309,74.408708,12530
31.582613,74.42559,6765
31.591396,74.440106,14509
31.59044,74.429813,9378
31.576699,74.441949,11920
31.575743,74.431658,10600
31.584525,74.446173,6814
31.58357,74.435882,9965
31.572871,74.400788,19418
31.581656,74.415299,13336
31.580698,74.405008,21298
31.566961,74.417147,16584
31.566003,74.406858,11992
31.574787,74.421368,11016
31.573829,74.411078,20638
31.547311,74.445632,2760
31.556089,74.460142,25
31.555135,74.449855,6423
31.541397,74.461979,5813
31.540443,74.451695,3713
31.548266,74.455918,610
31.537575,74.420841,11749
31.546356,74.435346,3150
31.545399,74.425061,9526
31.531665,74.437189,9403
31.530709,74.426905,5178
31.539488,74.44141,2736
31.538532,74.431125,146
31.569829,74.448015,6448
31.578608,74.46253,14069
31.577654,74.452239,7034
31.563913,74.464367,2223
31.562959,74.454079,1074
31.571737,74.468594,4275
31.570784,74.458304,3883
31.560092,74.423215,16316
31.568874,74.437725,9867
31.567918,74.427436,15339
31.55418,74.439568,3712
31.553224,74.429281,10576
31.562004,74.443791,3273
31.561049,74.433503,8866
31.605139,74.427967,4616
31.613923,74.442488,98
31.612968,74.432192,3492
31.599223,74.444331,11944
31.598268,74.434037,6692
31.607051,74.448557,3566
31.606095,74.438262,6863
31.63741,74.455172,1393
31.646193,74.469704,5642
31.64524,74.459402,6765
31.631489,74.471541,806
31.630535,74.461242,1539
31.638364,74.465472,830
31.627669,74.430346,1734
31.636455,74.444872,4910
31.635499,74.434573,73
31.621752,74.446715,6253
31.620796,74.436418,2124
31.629581,74.450943,1271
31.628625,74.440645,1880
31.602085,74.475214,9794
31.592352,74.450399,15387
31.601132,74.46492,11138
31.600178,74.454625,12505
31.586434,74.466757,11040
31.58548,74.456465,7083
31.594259,74.470985,17195
31.593306,74.460692,8768
31.614879,74.452785,1685
31.623661,74.467311,1026
31.622707,74.457013,416
31.608959,74.469148,830
31.608005,74.458853,9281
31.616786,74.473378,464
31.615833,74.463081,4372
31.502288,74.440871,8696
31.511064,74.455371,488
31.510109,74.445091,6863
31.496377,74.457208,2321
31.495423,74.44693,293
31.504197,74.461429,2002
31.503243,74.45115,3762
31.534528,74.46804,5373
31.54235,74.472264,24
31.527659,74.474099,24
31.524797,74.443251,12188
31.533574,74.457756,14728
31.53262,74.447472,3834
31.518885,74.459593,6278
