2026-05-02 16:18:40 | INFO | __main__ | luxuries.py:93 | Found 4 locations for jewellery
2026-05-02 16:18:41 | INFO | __main__ | luxuries.py:32 | Fetching clothing (Weight: 0.65)...
2026-05-02 16:18:43 | INFO | __main__ | luxuries.py:93 | Found 76 locations for clothing
2026-05-02 16:18:45 | INFO | __main__ | luxuries.py:32 | Fetching cinema (Weight: 0.85)...
2026-05-02 16:18:48 | INFO | __main__ | luxuries.py:93 | Found 26 locations for cinema
2026-05-02 16:18:50 | INFO | __main__ | luxuries.py:112 | Deduplication: Reduced from 1298 to 1280 points.
2026-05-02 16:18:50 | INFO | __main__ | luxuries.py:116 | Saved luxury dataset to data\lahore_luxuries_amenities.csv
2026-05-02 16:25:36 | INFO | __main__ | luxuries2.py:17 | Deep Sweeping: coworking...
2026-05-02 16:25:44 | INFO | __main__ | luxuries2.py:55 | Found 2 entries for coworking
2026-05-02 16:25:45 | INFO | __main__ | luxuries2.py:17 | Deep Sweeping: supermarket...
2026-05-02 16:25:48 | INFO | __main__ | luxuries2.py:55 | Found 78 entries for supermarket
2026-05-02 16:25:49 | INFO | __main__ | luxuries2.py:17 | Deep Sweeping: bookstore...
2026-05-02 16:25:50 | INFO | __main__ | luxuries2.py:55 | Found 20 entries for bookstore
2026-05-02 16:25:51 | INFO | __main__ | luxuries2.py:17 | Deep Sweeping: boutique_store...
2026-05-02 16:25:53 | INFO | __main__ | luxuries2.py:55 | Found 1 entries for boutique_store
2026-05-02 16:25:54 | INFO | __main__ | luxuries2.py:17 | Deep Sweeping: health_beauty...
2026-05-02 16:25:57 | INFO | __main__ | luxuries2.py:17 | Deep Sweeping: park_anchor...
2026-05-02 16:26:15 | INFO | __main__ | luxuries2.py:55 | Found 1024 entries for park_anchor
2026-05-02 16:26:16 | INFO | __main__ | luxuries2.py:17 | Deep Sweeping: electronics...
2026-05-02 16:26:19 | INFO | __main__ | luxuries2.py:55 | Found 27 entries for electronics
2026-05-02 16:26:20 | INFO | __main__ | luxuries2.py:17 | Deep Sweeping: car_showroom...
2026-05-02 16:26:22 | INFO | __main__ | luxuries2.py:55 | Found 34 entries for car_showroom
2026-05-02 16:29:04 | INFO | __main__ | luxuries2.py:17 | Fetching: padel_court...
2026-05-02 16:29:06 | INFO | __main__ | luxuries2.py:17 | Fetching: indoor_games...
2026-05-02 16:29:08 | INFO | __main__ | luxuries2.py:17 | Fetching: gaming_zone...
2026-05-02 16:29:09 | INFO | __main__ | luxuries2.py:17 | Fetching: health_club...
2026-05-02 16:29:09 | INFO | __main__ | luxuries2.py:17 | Fetching: yoga_pilates...
2026-05-02 16:29:11 | INFO | __main__ | luxuries2.py:17 | Fetching: aesthetic_med...
2026-05-02 16:29:13 | INFO | __main__ | luxuries2.py:66 | Found 54 locations for aesthetic_med
2026-05-02 16:29:14 | INFO | __main__ | luxuries2.py:17 | Fetching: barber_grooming...
2026-05-02 16:29:15 | INFO | __main__ | luxuries2.py:17 | Fetching: nail_salon...
2026-05-02 16:29:17 | INFO | __main__ | luxuries2.py:66 | Found 1 locations for nail_salon
2026-05-02 16:29:18 | INFO | __main__ | luxuries2.py:17 | Fetching: coworking...
2026-05-02 16:29:20 | INFO | __main__ | luxuries2.py:66 | Found 2 locations for coworking
2026-05-02 16:29:21 | INFO | __main__ | luxuries2.py:17 | Fetching: bookstore...
2026-05-02 16:29:21 | INFO | __main__ | luxuries2.py:66 | Found 20 locations for bookstore
2026-05-02 16:29:22 | INFO | __main__ | luxuries2.py:17 | Fetching: supermarket...
2026-05-02 16:29:22 | INFO | __main__ | luxuries2.py:66 | Found 78 locations for supermarket
2026-05-02 16:29:23 | INFO | __main__ | luxuries2.py:17 | Fetching: boutique...
2026-05-02 16:29:23 | INFO | __main__ | luxuries2.py:66 | Found 1 locations for boutique
2026-05-02 16:29:24 | INFO | __main__ | luxuries2.py:17 | Fetching: electronics...
2026-05-02 16:29:25 | INFO | __main__ | luxuries2.py:66 | Found 27 locations for electronics
2026-05-02 16:29:26 | INFO | __main__ | luxuries2.py:87 | Deduplication: Reduced from 183 to 182 points.
2026-05-02 16:30:41 | INFO | __main__ | luxuries2.py:17 | Fetching: sports_and_padel...
2026-05-02 16:30:47 | INFO | __main__ | luxuries2.py:67 | Found 164 locations for sports_and_padel
2026-05-02 16:30:48 | INFO | __main__ | luxuries2.py:17 | Fetching: fitness_gym...
2026-05-02 16:31:05 | INFO | __main__ | luxuries2.py:67 | Found 18 locations for fitness_gym
2026-05-02 16:31:06 | INFO | __main__ | luxuries2.py:17 | Fetching: gym_alt...
2026-05-02 16:31:08 | INFO | __main__ | luxuries2.py:17 | Fetching: beauty_wellness...
2026-05-02 16:31:33 | INFO | __main__ | luxuries2.py:67 | Found 24 locations for beauty_wellness
2026-05-02 16:31:34 | INFO | __main__ | luxuries2.py:17 | Fetching: medical_beauty...
2026-05-02 16:31:42 | INFO | __main__ | luxuries2.py:67 | Found 54 locations for medical_beauty
2026-05-02 16:31:43 | INFO | __main__ | luxuries2.py:17 | Fetching: recreation...
2026-05-02 16:31:45 | INFO | __main__ | luxuries2.py:17 | Fetching: social_hubs...
2026-05-02 16:31:47 | INFO | __main__ | luxuries2.py:67 | Found 55 locations for social_hubs
2026-05-02 16:31:48 | INFO | __main__ | luxuries2.py:17 | Fetching: coworking_office...
2026-05-02 16:31:52 | INFO | __main__ | luxuries2.py:67 | Found 2 locations for coworking_office
2026-05-02 16:31:53 | INFO | __main__ | luxuries2.py:17 | Fetching: high_end_shop...
2026-05-02 16:32:06 | INFO | __main__ | luxuries2.py:67 | Found 148 locations for high_end_shop
2026-05-02 16:32:07 | INFO | __main__ | luxuries2.py:17 | Fetching: books_and_tech...
2026-05-02 16:32:18 | INFO | __main__ | luxuries2.py:67 | Found 47 locations for books_and_tech
2026-05-02 16:32:19 | INFO | __main__ | luxuries2.py:88 | Deduplication: Reduced from 512 to 506 points.
2026-05-02 16:35:14 | INFO | __main__ | road.py:27 | Fetching Massive-Scale Road Network...
2026-05-02 16:37:56 | INFO | __main__ | road.py:35 | Processing 368033 road segments...
